id,sd_listener_role,sd_situation,sd_speaker_role,sd_utterance,sl_plutchik_primary_Anna,sl_plutchik_primary_Peter,sl_plutchik_primary_Abhigya,gold_standard,sl_v_Anna,sl_v_Peter,sl_v_Abhigya,sl_a_Anna,sl_a_Peter,sl_a_Abhigya,sl_d_Anna,sl_d_Peter,sl_d_Abhigya,sl_confidence_Anna,sl_confidence_Peter,sl_confidence_Abhigya,Notes
13,manager,After you stayed late helping to prepare materials assigned to you at the last minute. Your manager skims them quickly and replies with a curt comment about timing. You respond the next morning.,you,"Next time, please give me a bit more notice.",trust,trust,anger,trust,mildly unpleasant,mildly pleasant,unpleasant,excited,slightly calm,slightly excited,controlled,in control,slightly in control,mildly unsure,mildly confident,confident,"- Abhigya AND Peter (counting as all)
- BUT I think both make some sense"
18,sister,You're on a video call with your younger sister. She just finished telling you she's anxious about an upcoming interview and has been pacing. You waited a beat before replying.,you,"You're doing fine. It's really important, but try not to overthink it.",trust,fear,fear,fear,neutral,neutral,unpleasant,very calm,slightly excited,excited,in control,slightly controlled,controlled,neutral,mildly confident,unsure,"- Anna
- BUT makes sense if she viewed the sentence as net reassuring"
21,younger brother,Your younger brother is about to give a short speech at a family event. You missed most of his rehearsals because of work and only text him from the car right before he goes on stage.,you,"Try to stay relaxed, this is an importat event!",anger,fear,fear,fear,unpleasant,mildly unpleasant,unpleasant,slightly excited,excited,very excited,neutral,slightly controlled,controlled,neutral,confident,unsure,
23,you,"After a fight, your cousin has been distant for weeks and hasn't visited. They send a short message offering you a way back in.",cousin,"If you ever want to come by, the door may be open.",surprise,joy,anticipation,surprise,mildly pleasant,mildly pleasant,pleasant,excited,slightly calm,neutral,controlled,neutral,slightly in control,neutral,mildly confident,neutral,"- All disagree
- BUT they all agree on the valence"
33,adult child,"A 23-year-old adult child texts their parent at 2:15 AM after a rough day at work. The parent often responds quickly when worried but has also been short tempered lately, claiming to be exhausted from extra shifts.",mother,"You're doing fine, just call me if you need anything.",surprise,trust,sadness,surprise,neutral,mildly pleasant,very unpleasant,slightly excited,neutral,calm,slightly in control,neutral,controlled,unsure,mildly confident,unsure,"- All disagree
- In particular Abhigya viewed it as unpleasant"
46,you,"A mentor, who often defends and helps you, responded after a late-night review of your work.",mentor,"That was sloppy. Please fix before our next meeting, and keep up the good work.",surprise,fear,surprise,surprise,unpleasant,mildly unpleasant,mildly unpleasant,excited,neutral,slightly excited,slightly controlled,controlled,slightly controlled,neutral,mildly confident,mildly unsure,
48,romantic friend,"A friend you've been seeing casually texts you late, asking if you still want to keep seeing them romantically. You had been slow to reply all week and missed a call earlier.",you,"Lol, seriously?",sadness,anger,sadness,sadness,very unpleasant,unpleasant,very unpleasant,excited,slightly excited,neutral,controlled,neutral,controlled,mildly confident,confident,very unsure,"- Peter
- BUT all agree on valence"
51,friend,You've been checking in with a friend all week about their horrible dating experiences. They text you late one night after a terrible date. You've offered help before but have started to feel worn out by repeating yourself.,you,Can't talk right now. Check my previous text advice. And don't go changing for anyone.,surprise,anger,sadness,surprise,mildly unpleasant,mildly unpleasant,very unpleasant,slightly excited,slightly excited,calm,slightly in control,neutral,controlled,neutral,confident,unsure,"- All disagree
- BUT all agree on valence"
52,friend,"You spent hours helping a close friend redo their dating profile and even stayed late to give feedback. Shortly after, you see they post something reckless and you reply quickly with a sharp line.",you,Be original but don't be weird. Get it together or people might ghost you.,fear,sadness,sadness,sadness,unpleasant,unpleasant,unpleasant,slightly excited,slightly calm,slightly calm,neutral,slightly controlled,controlled,mildly unsure,confident,unsure,
54,you,On Slack a teammate sends a private late-night message after you missed a minor deadline. Earlier that day they'd been terse in the thread and haven't offered help.,teammate,"I'm happy to help, but you've got to learn how to fix these types of problems by yourself.",anger,fear,anger,anger,mildly unpleasant,mildly unpleasant,unpleasant,slightly excited,slightly excited,slightly excited,slightly controlled,slightly controlled,controlled,neutral,mildly confident,mildly unsure,
60,you,It's 11:30 p.m. and your manager sends a Slack private message after you missed a minor deadline. Earlier that day they'd been curt in the meeting but also approved overtime on your task list.,manager,Don't stress and get some sleep. When you're not late your work is great.,trust,trust,surprise,trust,mildly pleasant,mildly pleasant,neutral,slightly excited,slightly excited,slightly excited,slightly controlled,slightly controlled,neutral,mildly confident,confident,mildly confident,
64,junior analyst,"A manager messages a junior analyst in a team Slack channel about a client report. The manager has previously defended the junior in meetings and has provided one-on-one coaching, but the deadline pressures are high and the report contains clear errors.",manager,"You can do better than this. But if you can't, let me know.",fear,fear,fear,fear,mildly unpleasant,mildly unpleasant,very unpleasant,slightly excited,neutral,excited,controlled,controlled,very controlled,neutral,confident,very unsure,
70,supervisor,"After staying late to patch a production issue due to unrealistic deadlines, a junior engineer messages their supervisor about the decision that caused the outage.",junior engineer,"I think we got it fixed, but the problem may not be in the software. ",surprise,anticipation,anger,anger,very unpleasant,neutral,very unpleasant,neutral,slightly excited,slightly excited,in control,in control,neutral,neutral,confident,mildly unsure,"- All disagree
- Peter views as neutral not unpleasant"
87,you,"After a tense project meeting where the manager pointed out multiple issues, you (an employee) stayed late to rework the slides and sent a short reply the next morning addressing their concerns.",manager,"You're doing fine, just don't make so many mistakes next time.",trust,fear,anger,anger,mildly unpleasant,mildly unpleasant,unpleasant,slightly excited,slightly excited,slightly excited,controlled,controlled,slightly controlled,mildly unsure,mildly confident,mildly unsure,
88,manager,Your manager pushed an aggressive timeline that the team couldn't meet. You've repeatedly stayed late to pick up their slack and now push back in a one-line reply.,you,We might burn out our team with too many late nights if we want to meet these aggressive deadlines.,anger,anger,anger,anger,unpleasant,mildly unpleasant,very unpleasant,excited,slightly excited,slightly excited,in control,slightly in control,neutral,mildly unsure,mildly confident,neutral,
93,younger sister,It's just past midnight. A younger sister texts her older sister upset after failing an important exam. The older sister has been visibly exhausted and stretched thin caring for the family lately and replies from bed.,older sister,"It's really important to do well in Calculus if you want to study Physics. But don't worry, I'm sure you'll get it next time.",fear,sadness,sadness,sadness,unpleasant,unpleasant,very unpleasant,excited,excited,excited,slightly controlled,slightly controlled,very controlled,neutral,confident,very unsure,
97,adult child,"A father stayed late helping his adult child rehearse an important job presentation. Afterward, the adult child did okay but not as well as hoped.",parent,I tried to help you last night. Maybe you just practiced too much.,sadness,sadness,sadness,sadness,mildly unpleasant,mildly unpleasant,mildly unpleasant,slightly excited,neutral,slightly calm,slightly in control,slightly controlled,slightly controlled,neutral,confident,mildly unsure,
98,niece,"An aunt who has cancelled plans repeatedly messages her niece, who is busy with work, offering a weekend visit.",aunt,"If you're free, come over Sunday assuming my schedule clears up.",anger,anticipation,anger,anger,mildly unpleasant,pleasant,very unpleasant,neutral,calm,slightly excited,slightly controlled,neutral,neutral,neutral,very confident,unsure,"- Peter
- BUT makes sense if you view the Niece as wanting to see her aunt and being excited about the possibility"
108,friend,You texted a friend late at night saying you like them. They read it two hours later and send a short reply. You've been talking as friends for months and they sometimes flirt but lately have been quieter.,you,OMG LOL,disgust,sadness,surprise,sadness,mildly unpleasant,very unpleasant,neutral,neutral,very excited,very excited,in control,controlled,controlled,mildly unsure,confident,unsure,"- All disagree
- two lean negative on valence but one is neutral"
123,silent friend,"After a mildly awkward first date, one friend texts the other the next morning. The texting friend had been the one to suggest meeting but the date ended early and the other friend hasn't reached out since.",initiating friend,"We’re cool, right?",fear,sadness,fear,fear,unpleasant,mildly unpleasant,unpleasant,slightly excited,calm,excited,neutral,in control,neutral,mildly unsure,confident,unsure,"- Peter
- BUT makes sense AND all had negative valence"
126,you,"In a project Slack channel, you missed a deadline and a teammate who has been covering for you sends a direct message after reviewing your latest comment. They've stayed late a few nights this week helping the team.",coworker,There are serious problems with your last pitch. Let's sort it out next week.,trust,anger,fear,fear,mildly unpleasant,unpleasant,very unpleasant,slightly excited,slightly excited,excited,neutral,controlled,controlled,neutral,confident,very unsure,"- All disagree
- Anna saying trust seems most strange
- All have negative valence"
129,you,"You get a late DM from a friend you haven't heard from in two months, you respond with a message worried about them. They finally reply the next day.",friend,"Can't talk, don’t worry about it.",fear,anger,anger,anger,unpleasant,unpleasant,mildly unpleasant,excited,excited,neutral,controlled,controlled,neutral,neutral,confident,mildly unsure,
130,you,"In a team Slack channel you share with a peer who stayed late to help edit your document, then posts a short line about the document",coworker,"Next time, try to finish the draft before the meeting. Good work.",fear,joy,anger,fear,mildly unpleasant,mildly pleasant,mildly unpleasant,slightly excited,neutral,slightly excited,neutral,controlled,neutral,neutral,confident,neutral,
132,direct_report,"In the morning standup meeting, a manager responds briefly after an employee admits they're behind on deliverables and feeling overwhelmed.",manager,"It’s fine, just focus on the high priority items and just finish the project by tomorrow morning.  We'll discuss growth after the quarter.",fear,trust,fear,fear,unpleasant,mildly pleasant,very unpleasant,excited,slightly calm,very excited,controlled,slightly controlled,very controlled,mildly confident,mildly confident,very unsure,"- Peter
- Others also disagree with him on valence
- I disagree with the gold standard but I followed the majority"
135,employee,The manager has previously spent extra time coaching this person but on Slack the morning after an employee missed a deadline the manager sent a short message while clearly busy.,manager,"Please don't ever miss such an important deadline again. Don't worry, I've got your back.",fear,trust,fear,fear,very unpleasant,neutral,unpleasant,excited,slightly excited,excited,controlled,controlled,controlled,neutral,confident,unsure,
136,junior developer,A senior engineer posts a terse code-review comment late at night on a junior developer's pull request fix. That senior has previously stayed late to help this developer but the current message is short and abrupt.,senior engineer,This is sloppy; need to fix it before I push it live.,fear,fear,fear,fear,unpleasant,unpleasant,very unpleasant,excited,excited,excited,controlled,very controlled,very controlled,mildly confident,very confident,very unsure,
137,junior associate,An email from a senior partner to a junior associate after reading a draft brief. The partner compliments the work but says they won't be able to use it.,senior partner,"Nice work on the brief, but it's not what we had in mind.",sadness,anger,sadness,sadness,unpleasant,mildly unpleasant,unpleasant,slightly excited,slightly excited,slightly calm,controlled,controlled,slightly controlled,neutral,confident,mildly unsure,
144,you,"After a tense develoepr sprint demo where a bug was pointed out, you get a short direct message from a teammate who stayed late this week to help you with the feature.",colleague,"You're code clobbered by recent updates, but don't worry about it.",anger,anger,fear,anger,mildly unpleasant,mildly unpleasant,mildly unpleasant,slightly excited,slightly excited,excited,neutral,neutral,slightly controlled,unsure,confident,neutral,
147,you,"You have been working late with a colleagues on a shared report after a missed internal deadline. Your colleague, who stayed later last night to clean up sections, messages you the next morning.",colleague,"Good work, but if you keep it up I'll never get home.",fear,trust,anger,fear,unpleasant,mildly pleasant,mildly unpleasant,excited,calm,slightly excited,slightly in control,slightly controlled,neutral,mildly confident,mildly unsure,neutral,"- All disagree 
- Peter stands out with a different valence as well"
148,junior developer,"After a code review in a small engineering team, a senior teammate who has repeatedly defended the junior developer in previous meetings posts feedback on the recent commit.",senior teammate,"Nice work, but you'll need to redo most of it.",surprise,anger,sadness,anger,unpleasant,mildly unpleasant,unpleasant,slightly excited,neutral,slightly calm,slightly controlled,controlled,controlled,mildly confident,confident,unsure,"- All disagree
- BUT all have negative valence"
151,you,"After several rounds of small but repeated mistakes on a deliverable, a manager who has stayed late to help the you  pulls you aside during a team check-in.",manager,"I you want to stay on this project, but I need someone who doesn't make mistakes.",sadness,fear,fear,fear,unpleasant,mildly unpleasant,very unpleasant,excited,slightly excited,very excited,controlled,controlled,very controlled,neutral,confident,very unsure,"- Anna
- BUT all have negative valence"
153,junior analyst,"After an awkward client call, the manager texts the junior analyst from home late at night.",manager,"We lost the client. Don't worry, get  some rest, and we'll go over it tomorrow.",trust,anticipation,fear,anticipation,pleasant,mildly unpleasant,mildly unpleasant,slightly excited,slightly excited,slightly excited,slightly controlled,slightly controlled,slightly controlled,mildly confident,confident,mildly unsure,
154,associate,"After repeatedly missing small but important details, the manager who has been staying late to help confronts the associate in a one-on-one meeting.",manager,"That was sloppy. It happens, but let's not have it happen again.",fear,fear,fear,fear,unpleasant,mildly unpleasant,unpleasant,excited,excited,excited,controlled,controlled,controlled,neutral,confident,unsure,
155,new team member,"At the end of a busy Friday, the director says this to a new team member who asked for feedback.",director,"I'm usually very busy, but my door's open.",joy,joy,sadness,joy,mildly pleasant,pleasant,mildly unpleasant,neutral,slightly excited,slightly calm,slightly controlled,slightly controlled,slightly controlled,neutral,very confident,mildly unsure,
156,you,You submitted a progress report late in the evening. Your manager replied quickly while still logged on.,manager,Is this the best we've got? I guess we'll go with it then.,disgust,fear,anger,disgust,very unpleasant,unpleasant,very unpleasant,very excited,excited,slightly excited,controlled,controlled,slightly controlled,mildly confident,confident,mildly unsure,
157,director,You asked your director for feedback on a draft. The director spent the afternoon in a meeting but emailed you a blunt note at 9pm.,associate,"If you can make this draft better, please send it by tomorrow.",surprise,fear,anger,fear,unpleasant,unpleasant,very unpleasant,slightly excited,slightly excited,slightly excited,controlled,controlled,neutral,neutral,confident,neutral,
168,son,A mother texts her college-age son after he missed a couple of scheduled health center check-ins and turned in a late assignment.,mother,"I know you can do it, so please don't make a habit of this.",trust,sadness,fear,sadness,mildly unpleasant,neutral,mildly unpleasant,slightly excited,neutral,slightly excited,neutral,slightly controlled,slightly controlled,mildly confident,mildly confident,mildly unsure,
169,daughter,A father has been staying up late to help his daughter with college applications and responds after she procrastinated again.,father,How do you want me to help if you won't take this seriously.,fear,sadness,sadness,sadness,unpleasant,unpleasant,very unpleasant,slightly excited,slightly excited,slightly excited,neutral,controlled,controlled,neutral,confident,unsure,
171,son,A mother texts her 17-year-old son at 11:45 PM after hearing his teacher called about a failing grade; she has been handling late-night school crises for him for months and is visibly tired.,mother,"You'll be fine, don't worry, relax, just try harder next time.",surprise,sadness,fear,fear,unpleasant,mildly unpleasant,unpleasant,slightly excited,slightly excited,slightly excited,slightly in control,slightly controlled,controlled,neutral,confident,unsure,"- All disagree
- BUT all have negative valence"
172,adult daughter,"A father who is usually protective and has defended her to others, has been staying late to help his unemployed adult daughter with applications and responds after finding dirty laundry piling up in the living room",father,This is seriously the last time I'm cleaning up after you.,surprise,sadness,sadness,sadness,unpleasant,mildly unpleasant,very unpleasant,slightly excited,neutral,slightly excited,neutral,slightly controlled,controlled,neutral,confident,unsure,
177,parent,You and your parent had a tense phone call earlier about money. They've been texting repeatedly after you moved out recently and tried setting boundaries. They text again asking if you're okay while you're at work.,you,"I'm fine, really. I'll get my rent money somehow.",fear,fear,fear,fear,unpleasant,mildly unpleasant,unpleasant,excited,excited,excited,slightly controlled,neutral,controlled,neutral,confident,unsure,
178,younger sibling,You stayed up late to help your older sibling move into their new apartment. Your older sibling arrived late from a meeting and barely apologized. Later they send you a short message when you were awake.,older sibling,Thanks for helping out. If I knew how much work it was I would've tried sneaking out of my big meeting.,joy,anger,anger,anger,pleasant,mildly unpleasant,mildly unpleasant,slightly calm,neutral,slightly excited,slightly controlled,slightly controlled,neutral,neutral,confident,neutral,
189,younger friend,You're an older friend who stayed up late to redo a younger friend's slides after they missed the practice pitch run-thru. The next morning you text them while they're at work.,you,I'm sure you'll do fine given all the hard work you put into this presentation.,trust,joy,fear,fear,pleasant,mildly pleasant,mildly unpleasant,slightly excited,slightly excited,slightly excited,slightly controlled,neutral,slightly controlled,neutral,mildly confident,neutral,
191,you,"After a month of sporadic texts and less contact, an older ex who usually initiates plans sends a brief message to you offering to meet up.",older ex,"If you want to catch up, let me know.",surprise,anticipation,anticipation,anticipation,mildly pleasant,mildly pleasant,mildly pleasant,excited,excited,slightly excited,slightly in control,neutral,slightly in control,neutral,confident,mildly unsure,
197,casual dating partner,You've been casually dating someone who seems to be becoming more attached. They asked if you want to see each other more and you reply after thinking about your schedule.,you,Absolutely! Let me see if I can fit you in between pilates and dinner.,joy,joy,sadness,joy,mildly pleasant,pleasant,unpleasant,excited,slightly calm,neutral,controlled,slightly controlled,controlled,neutral,confident,unsure,"- Abhigya
- Idk, doesn't make sense"
199,colleague,A colleague stayed late to fix a bug and pushed a rushed patch. The next morning an angry customer leave feedback on the user support website.,colleague,"This fix could've been much better; next time, don't rush it.",anger,anger,fear,anger,unpleasant,unpleasant,very unpleasant,excited,excited,excited,slightly controlled,slightly controlled,very controlled,neutral,confident,unsure,
204,junior analyst,"Late evening Slack thread: a junior analyst has just messaged their manager, worried about tomorrow's client presentation after missing a rehearsal earlier. The manager is replying from home after a long day.",manager,"Don't stress about ther presentation tomorrow, if you can't handle it we can reassign it to someone else tomorrow morning.",trust,fear,fear,fear,mildly pleasant,unpleasant,unpleasant,excited,excited,excited,controlled,controlled,controlled,neutral,very confident,unsure,
214,You,Your an intern who stayed late defending and implementing a recent bad choice your director made. After the deployment you send an honest comment in the team channel.,Director,"Honestly, that which doesn't kill you makes you strong.",anger,trust,anger,anger,unpleasant,mildly pleasant,unpleasant,very excited,neutral,slightly excited,controlled,neutral,slightly controlled,neutral,very unsure,neutral,"- Peter
- misread the situation"
224,employees,"After a successful quarter, the manager sends a quick update to employees whose responsibilities are being shifted in an upcoming reorganization.",manager,"Look at our revenue from last quarter, this upcoming reorg will make us even more efficient.",fear,trust,fear,fear,unpleasant,mildly pleasant,mildly unpleasant,excited,slightly excited,slightly excited,very controlled,controlled,slightly controlled,mildly unsure,confident,mildly unsure,
228,you,You asked your manager about a promotion after a great performance review where they gave noncommittal feedback. They replied late in the evening and you send a short response.,manager,I hope I can translate your recent performance review into a bonus despite the current budget freeze.,anger,anticipation,anticipation,anticipation,very unpleasant,pleasant,mildly pleasant,excited,excited,excited,very controlled,slightly controlled,slightly controlled,neutral,very confident,mildly unsure,"- Anna 
- Misread the situation?"
232,engineering director,"After staying late all week to fix issues caused by a faulty component, a automotive engineer speaks candidly in a one-on-one with their engineering director about a recent unilateral decision that created extra work.",automobile engineer,That decision really challenged us more than it should have,sadness,surprise,anger,surprise,very unpleasant,neutral,unpleasant,slightly excited,slightly excited,slightly excited,in control,in control,neutral,mildly unsure,mildly confident,neutral,
238,oldest sibling,"They'd spent the morning helping their oldest sibling move boxes after that sibling repeatedly missed agreed pickup times. Near the end, while stacking the last box, the helper responds.",helper,"Keep flaking out on us like that, and you may be an only child next time.",sadness,sadness,fear,sadness,very unpleasant,unpleasant,very unpleasant,excited,slightly excited,excited,in control,slightly controlled,controlled,neutral,confident,unsure,"- Abhigya
- BUT all have negative valence"
240,daughter,A tired father calls his 16-year-old daughter late at night after a long day at work. She's been anxious about college applications and he missed filing a key form required for her application.,father,"Don't worry, I've taken care of it already. It'll be done by tomorrow.",anger,trust,joy,trust,unpleasant,mildly pleasant,very pleasant,very excited,excited,excited,controlled,slightly controlled,slightly in control,neutral,confident,confident,"- All disagree 
- Anna stands out with different valence"
241,child,A mother has been staying up late to help her 13-year-old with repeated school assignments. After cleaning up the child's messy desk again the mother snaps.,mother,This is the absolute last time I'm cleaning up after you. Alright? ,fear,fear,fear,fear,unpleasant,unpleasant,very unpleasant,slightly excited,excited,excited,slightly in control,very controlled,controlled,neutral,very confident,unsure,"Should not have been marked, they are in agreement"
242,brother,An older sister is the live-in caretaker for her parents. She offers to let her younger brother move back home after he lost his job.,older sister,"You're welcome to move back in, as long as we can somehow find space.",trust,trust,joy,trust,mildly pleasant,pleasant,pleasant,slightly excited,slightly excited,slightly excited,slightly controlled,slightly controlled,slightly controlled,neutral,confident,neutral,
245,child,A mother who has been distant lately replies to her younger child's excited message about a school recital. She has missed recent events but always promises she'll make the next one.,mother,I'll be there if I can.,sadness,sadness,sadness,sadness,very unpleasant,unpleasant,unpleasant,excited,slightly excited,slightly calm,controlled,controlled,controlled,neutral,confident,unsure,
250,older sister,"A younger brother stayed up late to help his older sister edit her grad-school application. After sending his notes, he texts a very blunt line of feedback.",younger brother,"Honestly, if that's the best you can do maybe it's good enough.",surprise,fear,sadness,sadness,very unpleasant,mildly unpleasant,very unpleasant,excited,slightly excited,slightly excited,neutral,slightly controlled,controlled,neutral,mildly confident,very unsure,"- All disagree
- BUT all have negative valence"
251,father,"An adult son, juggling a demanding job, replies to his elderly father's repeated hints that he'd like a visit at the rest home. The son offers a brief, open-sounding response.",adult_son,"Of course, looking forward to seeing you once I can catch a break from work.",joy,anticipation,anticipation,anticipation,pleasant,mildly pleasant,mildly pleasant,slightly excited,slightly excited,slightly excited,controlled,slightly controlled,slightly controlled,neutral,confident,mildly unsure,
256,you,Your close friend stayed late helping you paint your kitchen last week. A few days later they call about your latest DIY project and responds bluntly.,friend,"Glad I could help out, do you need help again?",trust,joy,sadness,trust,mildly pleasant,pleasant,unpleasant,slightly excited,slightly calm,slightly calm,slightly controlled,neutral,slightly controlled,mildly unsure,confident,mildly unsure,"- Abhigya
- Different emotion AND valence"
266,date,"After an apparently great date, a woman follows up with a compliment but notes their overcommitted schedule.",woman,"Can't wait to see you again, but we're going to have to wait until things clear up on my calendar.",joy,anticipation,anticipation,anticipation,mildly pleasant,very pleasant,mildly pleasant,neutral,slightly excited,slightly excited,slightly controlled,slightly controlled,slightly controlled,neutral,very confident,mildly unsure,
