id,sd_listener_role,sd_situation,sd_speaker_role,sd_utterance,sl_plutchik_primary_Godwin,sl_plutchik_primary_Eli,sl_plutchik_primary_Adrian,gold_standard,sl_v_Godwin,sl_v_Eli,sl_v_Adrian,sl_a_Godwin,sl_a_Eli,sl_a_Adrian,sl_d_Godwin,sl_d_Eli,sl_d_Adrian,sl_confidence_Godwin,sl_confidence_Eli,sl_confidence_Adrian,Notes
15,engineering manager,A junior developer is responding to their manager after being asked to handle another round of weekend QA. The junior has been given disproportionate weekend work compared with more senior colleagues over several cycles.,junior developer,"Sure, I'll take care of the extra QA this weekend, don't worry about me; I know you have more important things to do.",surprise,surprise,trust,surprise,mildly pleasant,mildly unpleasant,mildly pleasant,neutral,neutral,neutral,slightly in control,very controlled,slightly in control,confident,mildly unsure,confident,
17,senior analyst,A junior analyst posts a reply in a team thread after a senior analyst provided detailed critiques and requested last-minute changes to a report that was already reviewed. The team has a history of late edits from that senior analyst.,junior analyst,"Thanks for the notes, I'll make the edits, and hopefully next time we can avoid so many last-minute changes.",anger,surprise,surprise,surprise,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,neutral,in control,in control,in control,mildly unsure,mildly unsure,confident,
18,younger sibling,You and your sibling usually trade cooking and chores. Lately they cancel plans and expect you to cover evenings. Tonight they say they need to head out with friends right before dinner.,You,"Oh, it's fine go ahead and go; I can make dinner again, don't worry about me.",sadness,surprise,joy,sadness,mildly unpleasant,mildly unpleasant,neutral,neutral,neutral,calm,slightly controlled,slightly in control,slightly controlled,mildly confident,mildly confident,confident,
21,younger sibling,"Two adult siblings coordinate driving their elderly parent to a mid-morning medical appointment. The younger sibling texts that they'll be a bit late because of work, and the older sibling, who has done most of the rides lately, replies immediately.",older sibling,"Oh, that's fine take as long as you need. I’ve got all the time in the world like always.",surprise,surprise,disgust,surprise,mildly unpleasant,unpleasant,pleasant,slightly calm,slightly calm,calm,slightly controlled,slightly controlled,very in control,mildly unsure,mildly unsure,confident,
27,teenage child,A mother notices her teenage child's socks and a few small messes have been put away after weeks of reminders about chores. The household has a history of the teen doing the minimum and the parent repeatedly nagging.,mother,"You actually put your socks in the hamper, how civilized of you.",anger,anger,sadness,anger,unpleasant,unpleasant,unpleasant,slightly calm,slightly calm,neutral,slightly controlled,slightly in control,controlled,mildly confident,mildly confident,very confident,
28,adult chlid,A father learns his adult child skipped another family dinner. This is the third time in a row the child has missed an important family occasion. The family has a history of the parent minimizing conflict to keep family peace.,father,It's really okay that you couldn't make Mom's birthday again; we managed fine without you.,sadness,sadness,surprise,sadness,unpleasant,unpleasant,mildly unpleasant,slightly calm,slightly calm,neutral,neutral,neutral,in control,mildly unsure,mildly unsure,confident,
35,father,"At a family holiday, a younger daughter is repeatedly overlooked while her father praises an older siblings going around telling the family what they've been doing. When asked if she's okay with being ignored, the younger daughter answers calmly.",younger daughter,"Of course, why would he ever care about me.",sadness,sadness,sadness,sadness,unpleasant,unpleasant,very unpleasant,slightly calm,slightly calm,excited,controlled,controlled,controlled,mildly confident,neutral,very confident,
39,friend,"You lent a favorite jacket to a close friend for a concert; they returned it with a faint wine stain and the sleeve a bit stretched. This isn't the first time they've been careless with your things, and you haven't directly complained before.",you,"Thanks for bringing my jacket back, its almost like new.",surprise,anticipation,surprise,surprise,unpleasant,unpleasant,mildly unpleasant,slightly calm,slightly calm,slightly excited,neutral,neutral,very controlled,neutral,neutral,confident,
40,friend,You and a friend have been organizing a small get-together. Your friend promised to bring pastries but forgot and messaged last-minute. You've been handling most logistics lately and are quietly frustrated but don't want a full argument before guests arrive.,you,"Don't worry about the pastries, I can just take care of it with everything else.",surprise,surprise,anticipation,surprise,mildly unpleasant,mildly unpleasant,mildly unpleasant,slightly calm,slightly calm,slightly calm,slightly controlled,slightly controlled,slightly controlled,mildly confident,mildly confident,confident,
41,dating partner,"You've been dating casually; the other person has canceled plans three times in the past month for similar reasons. They cancel again tonight, saying they have to work late. You're disappointed but trying not to seem clingy.",you,"Alright, whatever works for you, you let me know if you ever want to meet up.",sadness,anticipation,anticipation,anticipation,unpleasant,unpleasant,mildly unpleasant,slightly calm,slightly calm,slightly excited,very controlled,very controlled,in control,mildly confident,mildly confident,very confident,
45,younger friend  ,"You and a younger friend meet after your friend got a very different, edgy haircut you had no idea about. You previously joked about how they always change styles without thinking. You're sitting in a cafe and your friend asks what you think of their new edgy haircut.",you,It actually kind of suits you.,anticipation,joy,joy,joy,very pleasant,very pleasant,very pleasant,slightly excited,slightly excited,excited,neutral,neutral,neutral,confident,confident,very confident,
46,forgetful partner,"You planned a small anniversary dinner with your partner, but they forgot and spent the evening with friends. Your partner apologized the next day. You are both tired and still living in the same place, so direct confrontation would escalate things.",you,"It's totally fine. Don't worry about it, I'm glad you had a nice night.",sadness,trust,trust,trust,mildly pleasant,mildly pleasant,mildly pleasant,slightly calm,slightly calm,excited,controlled,controlled,neutral,mildly unsure,mildly unsure,confident,
47,new friend,"You have often been the one to rearrange plans with your old friend group when a newer member joins and tends to cancel last minute. After the new friend cancels again citing 'unexpected work stuff,' you message them while organizing the week.",you,No problem at all. Text me when you're free next and I'll find a time that works for you.,joy,surprise,joy,joy,pleasant ,unpleasant,pleasant,slightly calm,slightly calm,neutral,neutral,neutral,in control,confident,confident,very confident,
52,friend,You and a friend had plans to go out. Your friend (who usually calls the shots socially) cancels last minute yet again. You respond when they apologize.,you,"It's fine, don't worry about it. I'm happy to stay in again.",sadness,anticipation,trust,sadness,unpleasant,unpleasant,mildly pleasant,slightly calm,slightly calm,neutral,slightly controlled,slightly controlled,in control,confident,confident,confident,
57,teammate  ,In a team Slack channel for a peer software project. A teammate who has missed several deadlines just posted a late-but-working patch fix and a short summary of what they changed.,you,"Nice, it actually works. ",anger,anger,disgust,anger,unpleasant,unpleasant,unpleasant,neutral,neutral,excited,neutral,neutral,neutral,confident,confident,confident,
64,adult child,In a family group chat a parent responds to an adult child's message about not wanting to travel for a holiday. The parent has been disappointed by the child's choices before.,parent,"No worries, if it's easier for you not to come then that's fine.",sadness,sadness,sadness,sadness,unpleasant,unpleasant,unpleasant,neutral,neutral,excited,slightly controlled,slightly controlled,controlled,neutral,neutral,very confident,
81,engineer,"After several missed deadlines, a manager gives brief feedback in a one-on-one after the employee's project presentation.",manager,"Nice presentation, for once you met the deadline.",sadness,anticipation,anticipation,anticipation,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,neutral,very in control,very in control,slightly controlled,neutral,neutral,very confident,
82,engineer,"A team lead replies to an engineer who frequently misses morning meetings and turns in partial updates, sending a short message after another late check-in.",team_lead,"No worries, whenever you're ready send the update; I know your mornings can be tough.",surprise,anger,surprise,surprise,unpleasant,unpleasant,mildly pleasant,neutral,neutral,neutral,in control,in control,in control,mildly confident,mildly confident,confident,
83,employee,"After an employee admits they overlooked an important requirement, a director responds during a quick check-in.",director,Thanks for letting me know. That's really helpful. I'll rearrange my entire schedule to fit this in.,surprise,surprise,surprise,surprise,unpleasant,unpleasant,neutral,neutral,neutral,neutral,in control,in control,in control,confident,confident,confident,
87,junior analyst,During the weekly status meeting a manger sits through a junior analyst's presentation that was obviously hastily updated the night before. Afterward the junior analyst asks for feedback in front of the team.,manager,Well you must have pounded that out quickly. Well done.,surprise,anger,surprise,surprise,very unpleasant,very unpleasant,unpleasant,neutral,neutral,excited,very in control,very in control,in control,very confident,very confident,confident,
88,team lead,A team lead assigns an urgent deliverable late Friday. An associate who already planned personal commitments replies immediately in the group chat.,associate,No problem. I can live in the office this weekend if that helps.,anger,anger,trust,anger,unpleasant,unpleasant,very pleasant,neutral,neutral,slightly calm,slightly controlled,slightly controlled,neutral,confident,confident,very confident,
89,manager,A project coordinator had an approved day off but their manager asks them to cover a client call. The coordinator responds in person before leaving for the day.,project coordinator,"As you know I have my trip scheduled for today, so it will depend on flight wifi. ",anger,anger,surprise,anger,mildly unpleasant,mildly unpleasant,neutral,neutral,neutral,neutral,slightly in control,slightly in control,neutral,confident,confident,very confident,
99,younger sibling ,An older sibling drops by the younger sibling's apartment after months away. The younger sibling has a known habit of leaving clutter and never finishing chores.,older sibling,"Wow, your place actually looks pretty good. I didn't expect to say that.",sadness,anticipation,anticipation,anticipation,mildly unpleasant,mildly unpleasant,mildly unpleasant,neutral,neutral,neutral,neutral,neutral,controlled,mildly confident,mildly confident,confident,
100,teenage_child,A parent has repeatedly asked their teenage child to help with household chores; the child has been skipping their turn for weeks. The parent speaks after the child says they’ll be 'too busy' again.,mother,It's a good thing I’m never too busy to do the things you ask me to do.,surprise,surprise,anger,surprise,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,slightly excited,in control,in control,controlled,neutral,neutral,mildly confident,
112,patner,"You and your romantic partner share an apartment. They've been repeatedly leaving dishes in the sink and saying they'll do them later. You usually end up cleaning them. After another night of you washing alone, you hand your partner a towel while they're scrolling on the couch.",you,"Don't worry, you’ve got this, the instructions are in the sink.",surprise,anger,surprise,surprise,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,slightly excited,slightly in control,slightly in control,in control,mildly confident,mildly confident,neutral,
118,partner,"After your partner repeatedly cancels plans at the last minute, you just learned your partner now wants to go out tonight despite their earlier cancellations.",you,Leave it to you to cancel a cancelation.,surprise,surprise,surprise,surprise,mildly unpleasant,mildly unpleasant,mildly unpleasant,neutral,neutral,slightly calm,neutral,neutral,slightly controlled,neutral,neutral,neutral,
123,friend,You've been texting a friend who often cancels last-minute. Tonight they finally show up for a movie they promised weeks ago but were late and distracted. You're quieter than usual.,you,Nice of you to make time. I'm glad you could fit me in.,surprise,surprise,surprise,surprise,neutral,neutral,very pleasant,slightly calm,slightly calm,slightly calm,slightly controlled,slightly controlled,neutral,neutral,neutral,very confident,
125,friend,"You and a friend are deciding plans for a group date night. The friend tends to make all the decisions and dismisses your ideas instead opting for a risky attempt to get late tickets to a concert. When they announce their plan, you reluctantly concede.",you,"Okay, do it your way. There’s always a chance it works out.",anger,anger,trust,anger,mildly unpleasant,mildly unpleasant,neutral,neutral,neutral,neutral,controlled,controlled,neutral,mildly confident,mildly confident,neutral,
131,other planning friends,You are in a group chat with friends planning a weekend trip where others are choosing dates and activities without asking. One member who has been quieter lately speaks up,quiet friend,"Sure, go ahead and book whatever works for you. I don't want to be a burden.",fear,surprise,trust,fear,unpleasant,unpleasant,neutral,slightly calm,slightly calm,neutral,controlled,controlled,slightly controlled,confident,confident,mildly confident,
135,junior analyst,"On Slack, a department manager replies after a junior analyst finally uploads a report that had been overdue despite multiple reminders.",department manager,Thanks for finally sending the report. I hope the extra time means it's an extra good report.,fear,anger,fear,fear,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,slightly excited,in control,in control,controlled,mildly confident,mildly confident,mildly confident,
136,graduate student,A professor emails a graduate student after receiving a late revision that had already been flagged in earlier comments.,professor,"No worries, just make sure it's truly final next time.",trust,anger,trust,trust,neutral,mildly unpleasant,neutral,neutral,neutral,neutral,in control,in control,neutral,mildly confident,mildly confident,mildly confident,
137,intern,"On a company's editorial Slack channel, a senior editor responds to an intern's draft for a public post.",senior editor,That's a cute take. Maybe try rewording it to sound more professional before you post.,anger,anger,surprise,anger,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,excited,in control,in control,controlled,confident,confident,mildly confident,
141,engineering manager,"In the project's Slack channel, the engineering manager announced a new, earlier deadline late in the day. The junior developer, who has limited time and less power to push back, replies in the channel where the manager and other leads can see it.",junior developer,No problem. I'll get it done by Friday. Thanks for the late notice!,surprise,anger,surprise,surprise,unpleasant,unpleasant,unpleasant,neutral,neutral,slightly excited,controlled,controlled,in control,confident,confident,mildly confident,
142,parent,An adult child replies to a parent's group text reminders about attending a weekly family dinner. The child lives farther away and the parent has a history of repeatedly checking in a little too often.,adult child,Thanks for the reminder. I'll clear my schedule so you don't have to keep asking.,anger,surprise,disgust,disgust,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,slightly excited,slightly controlled,slightly controlled,neutral,mildly confident,mildly confident,mildly confident,
147,Presenter,"Two colleagues in the same product team just finished a client demo. The presentation creator has repeatedly covered for the presenter when they were unprepared in past meetings, now the creator is standing near the coffee machine as others congratulate the presenter.",presentation creator,"Wow, you actually handled that presentation really well. How did you pull that off?",surprise,surprise,joy,surprise,mildly unpleasant,mildly unpleasant,mildly pleasant,neutral,neutral,slightly excited,slightly controlled,slightly controlled,slightly in control,mildly confident,mildly confident,mildly unsure,
149,Coworker,"In a cross-functional project chat, a coworker repeatedly volunteers for high-profile tasks and later leaves execution gaps. The speaker has volunteered availability for these high-profile tasks before but feels overlooked. The team is allocating the next coding sprint tasks.",Speaker,"Sure, go ahead and take the lead on this one. It's not like I haven't been available before or and its not like these tasks aren’t getting done.",anger,surprise,surprise,surprise,mildly unpleasant,mildly unpleasant,mildly unpleasant,neutral,neutral,neutral,neutral,neutral,neutral,mildly unsure,mildly unsure,neutral,
153,junior developer,"During the weekly project review, a manager addresses a junior developer who previously turned in messy data but has improved the latest slides. Other team members are present and there's a history of missed metrics from this junior employee.",manager,Nice job on the slides. For once the numbers actually line up.,anger,anger,surprise,anger,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,neutral,in control,in control,slightly controlled,confident,confident,mildly confident,
157,your manager,Your manager assigns you an extra task on Friday afternoon and explicitly suggests you handle it over the weekend because they don't have time. You reply in the thread to confirm.,you,"Don't worry about asking me to do more work on the weekend, it’s fine.",anger,anger,trust,anger,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,neutral,controlled,controlled,neutral,confident,confident,mildly confident,
161,hiring supervisor,You were passed over for a promotion again in favor of an external hire. You tell your supervisor this right after the announcement.,you,No worries at all. Maybe it's good to have an outsider who isn’t part of this company.,surprise,anticipation,trust,surprise,mildly unpleasant,mildly unpleasant,mildly pleasant,slightly calm,slightly calm,neutral,controlled,controlled,neutral,mildly confident,mildly confident,confident,
171,child,A mother waits in the kitchen. Her adult son has a history of coming home late and leaving a mess after nights out. He walks in at 1:15 a.m.,parent,It's nice of you to show up. ,fear,anticipation,anticipation,anticipation,mildly unpleasant,mildly unpleasant,neutral,neutral,neutral,neutral,slightly in control,slightly in control,slightly controlled,mildly confident,mildly confident,mildly confident,
172,niece,"At a family potluck, an aunt samples a niece's homemade dish that the rest of the family finds unconventional. After pausing the aunt responds.",aunt,"Thanks for bringing such a creative dish, it's always interesting to try new things.",joy,anger,joy,joy,pleasant,unpleasant,pleasant,neutral,neutral,excited,neutral,neutral,slightly in control,confident,confident,confident,
173,adult daughter,"A father has repeatedly covered his adult daughter's share of household bills. After a month without payment, he brings it up while helping her pack laundry.",parent,"If you'd like, I can remind you again next month about the rent. I know how you can forget sometimes.",trust,anger,trust,trust,pleasant,mildly unpleasant,very pleasant,neutral,neutral,excited,neutral,neutral,slightly in control,neutral,neutral,confident,
189,younger friend  ,"You're driving a younger friend to a group dinner after their recent messy breakup. Your younger friend is trying a new, more polished look tonight. You've seen them in more casual outfits for months and have a history of teasing them.",you,You look really great tonight. I'm honestly impressed.,joy,joy,joy,joy,very pleasant,pleasant,very pleasant,slightly excited,slightly excited,excited,neutral,neutral,neutral,confident,confident,confident,
193,hosting sibling,"You asked your sibling (who usually organizes family gatherings) whether you'll be included in a small holiday dinner. Your sibling replied that the guest list is limited. You're older but currently living with them, and you don't want to start a fight before other relatives visit.",you,"No, it's fine, you should invite whoever makes you happiest. I wouldn't want to cause any trouble.",fear,anticipation,trust,anticipation,mildly unpleasant,mildly unpleasant,pleasant,slightly calm,slightly calm,excited,controlled,controlled,slightly controlled,confident,confident,mildly confident,
201,submitting teammate,A small project team on Slack. One teammate repeatedly turned in a section late; they finally posted an updated draft after the deadline and a couple of offhand reminders from others.,commenting teammate,"No worries, that actually looks pretty good given the timeline.",surprise,anger,surprise,surprise,neutral,mildly unpleasant,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,mildly confident,
203,cancelling friend,"In a friend's planning thread for weekend plans, one friend cancels last-minute for the third time this month. Another friend replies in the chat so the group sees it.",commenting friend,"No problem, go do what you need to do. Really, don't worry about us.",anger,anger,anticipation,anger,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,neutral,slightly controlled,slightly controlled,slightly in control,mildly confident,mildly confident,mildly confident,
204,intern,On Slack the manager replies to an intern who just uploaded a file later than requested and labelled it poorly.,manager,Thanks for sending this over. Better on time than done right.,sadness,surprise,sadness,sadness,very unpleasant,mildly unpleasant,unpleasant,slightly calm,slightly calm,neutral,in control,in control,controlled,neutral,neutral,neutral,
216,presenter,"During a weekly team meeting, a colleague who often rushes their slides just finished a presentation that covered the required topics but was disorganized and didn't get to a point. A few other peers glanced at each other while the presenter packed up and one audience member quips.",commenting audience,That was actually not terrible for how last-minute it was.,surprise,anger,surprise,surprise,mildly unpleasant,mildly unpleasant,mildly unpleasant,neutral,neutral,slightly excited,slightly controlled,slightly controlled,slightly controlled,neutral,neutral,mildly confident,
219,fix engineer,"In a team code-review thread at work, one peer submits a code fix in a pull request that had been delayed several times. Another colleague posts a short comment after finally seeing it merged into the main codebase.",commenting engineer,Thanks for getting this in eventually.,anger,anticipation,anger,anger,mildly unpleasant,mildly unpleasant,mildly unpleasant,neutral,neutral,neutral,neutral,neutral,neutral,mildly confident,mildly confident,mildly confident,
225,junior analyst,A manager has had to remind an otherwise reliable junior analyst three times this month about late deliverables. The analyst finally hands in a report two hours after the deadline and the manager catches them in the office as they're packing up for the day.,Manager,"Great job. Take the rest of the day off, I know you've been juggling a lot.",trust,surprise,surprise,surprise,pleasant,neutral,very pleasant,neutral,neutral,very excited,in control,in control,slightly in control,mildly confident,mildly confident,mildly confident,
227,team member ,A project director has shown a specific report with a second updated requried template in training sessions. A team member submits the report using the director's old template instead. The director sends a brief message at 5:45pm before leaving the office.,project director ,Next time please be more careful and pay attention to details like which template you are using. ,fear,anticipation,surprise,fear,unpleasant,unpleasant,neutral,neutral,neutral,neutral,in control,in control,neutral,mildly confident,mildly confident,mildly confident,
237,sister,"At a family dinner, a pair of brother and sister adult siblings are taking a side dish the sister brought. The sister (the listener) has a history of undercooking or sloppily preparing food, and there has been low-level tension about it. The brother comments.",brother,"Wow, I've never had mashed potatoes like these before. It's nice to see you trying.",sadness,anger,sadness,sadness,unpleasant,unpleasant,unpleasant,neutral,neutral,neutral,neutral,neutral,slightly controlled,confident,confident,neutral,
238,brother,"After a family birthday cleanup, one brother sibling (the listener) repeatedly promised to take out the trash but forgot several times. The sister speaker sibling is worn out from handling most chores recently.",sister,"No, it's fine, really. I'll just take the trash out myself; you must be exhausted.",trust,surprise,anticipation,trust,mildly pleasant,mildly unpleasant,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,mildly confident,
250,father,An adult son asks his father about moving back home. The son explains his options are limited due an unexpected job loss but the father just lectures him about responsibility.,son,"Of course, you're the expert Dad. I should've known better, thanks for always looking out for me anyway.",trust,anger,trust,trust,mildly pleasant,unpleasant,neutral,neutral,neutral,neutral,slightly controlled,slightly controlled,neutral,mildly confident,mildly confident,neutral,
255,friend,"You and a close friend finally meet up after they've canceled plans several times over the past month. Your friend arrive late, apologetic but smiling while you stand waiting.",you,"Oh, you finally made it. I’m just glad I’m important enough for you to show up eventually.",surprise,surprise,anticipation,surprise,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,slightly excited,slightly controlled,slightly controlled,neutral,mildly unsure,mildly unsure,neutral,
256,friend,You lent a friend some money a few weeks ago. They've been promising to repay but keep postponing and giving excuses. You bumped into them at a coffee shop after another excuse.,you,It seems like you aren’t having trouble getting money together for things like coffee.,surprise,anticipation,surprise,surprise,unpleasant,unpleasant,neutral,neutral,neutral,neutral,slightly controlled,slightly controlled,neutral,mildly confident,mildly confident,very unsure,
257,friend,"After several canceled dates and last-minute changes, your partner tells you they need to leave dinner early for a work call.",you,It's great that you can at least show up for your work.,anger,anger,anger,anger,mildly unpleasant,mildly unpleasant,unpleasant,neutral,neutral,excited,slightly controlled,slightly controlled,controlled,mildly confident,mildly confident,mildly confident,
261,old friend,You have repeatedly warned your oldest friend about their new girlfriend. You see a scandalous photo of the two together on Instagram and send a short text.,you,I really hope you’re keeping in mind how difficult it is to delete things from the internet.,fear,anticipation,anticipation,anticipation,unpleasant,mildly unpleasant,neutral,neutral,neutral,neutral,slightly controlled,slightly controlled,slightly controlled,mildly confident,mildly confident,mildly confident,
262,Friend’s spouse,"You notice your best friend's spouse missed their planned anniversary dinner, after being stood up many times before. You send a message to your friend’s spouse.",you,I hope whatever reason you had to miss your anniversary dinner was worth it.,disgust,anger,disgust,disgust,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,excited,neutral,neutral,slightly in control,confident,confident,mildly confident,
268,dating partner,You've made plans with someone you're dating who has a pattern of canceling last-minute. Tonight they text that they won't make it again with a vague excuse.,you,"That's okay. You go have fun, and maybe we wait to make plans until you can keep them.",surprise,anticipation,surprise,surprise,unpleasant,unpleasant,mildly unpleasant,neutral,neutral,slightly excited,slightly controlled,slightly controlled,very in control,neutral,neutral,neutral,
