id,sd_listener_role,sd_situation,sd_speaker_role,sd_utterance,sl_plutchik_primary_Annotator_1,sl_plutchik_primary_Annotator_2,sl_plutchik_primary_Annotator_3,gold_standard,sl_v_Annotator_1,sl_v_Annotator_2,sl_v_Annotator_3,sl_a_Annotator_1,sl_a_Annotator_2,sl_a_Annotator_3,sl_d_Annotator_1,sl_d_Annotator_2,sl_d_Annotator_3,sl_confidence_Annotator_1,sl_confidence_Annotator_2,sl_confidence_Annotator_3,Notes
1,programmer,"After the programmer accidentally pushed a code update that reverted most of the day's progress, another teammate sighs and addresses the small group of peers who worked on it together.",teammate,"Well, that went... great.",sadness,sadness,sadness,sadness,unpleasant,mildly unpleasant,mildly unpleasant,very calm,neutral,slightly excited,controlled,neutral,controlled,mildly confident,mildly confident,confident,
2,new programmer,A developer in code review notices that a new programmer merged an untested change that broke the build late on a Friday. The developer posts to the team chat.,developer,Nice job merging your updatesÉ exactly what we needed on a Friday afternoon.,fear,sadness,sadness,sadness,mildly unpleasant,unpleasant,unpleasant,very calm,neutral,slightly excited,slightly in control,neutral,very controlled,mildly confident,neutral,confident,
3,presenter  ,"In a project meeting a tech running the demo couldn't get the it working, and the presenter found slides were missing. So they both hurriedly skipped explanations while others stared.",tech,"Well, that went perfectly.",anger,anger,fear,anger,mildly unpleasant,unpleasant,mildly unpleasant,very calm,slightly excited,slightly excited,neutral,slightly controlled,slightly controlled,unsure,neutral,confident,
6,junior developer ,"Right before the big media demo, a junior developer accidentally pushed an update that crashed the website. A senior manager pulls the junior developer aside.",senior manager,"Don't worry, I'm sure the media is here to see me and not the new product.",fear,fear,fear,fear,mildly unpleasant,mildly unpleasant,unpleasant,slightly excited,slightly excited,excited,very controlled,neutral,very controlled,neutral,neutral,confident,
13,manager,"After a client presentation went off the rails because the manager forgot the slide deck, an his intern nephwe turns to the manager in the meeting room.",intern nephew,"Wow, so that's what they pay you the big bucks for.",anger,surprise,surprise,surprise,mildly unpleasant,mildly unpleasant,unpleasant,neutral,neutral,slightly excited,slightly controlled,slightly in control,in control,mildly confident,mildly confident,mildly confident,
16,CEO,"After a meeting in which the CEO harshly criticized the new fashion rollout in front of the team, a designer stops the CEO in the hallway.",designer,I guess the finance guys driving this fashion line are better at numbers than fashion.,surprise,surprise,surprise,surprise,mildly unpleasant,neutral,neutral,calm,neutral,slightly excited,neutral,neutral,in control,confident,unsure,mildly confident,
21,younger sibling,"At a family dinner, the younger sibling volunteered to cook for everyone for the first time but accidentally burned the main dish. The parents are trying not to make the younger sibling feel worse. After one bite, the older sibling quips:",older sibling,"Wow, this tastes just like a five-star restaurant. ",sadness,sadness,sadness,sadness,mildly unpleasant,mildly unpleasant,mildly unpleasant,very calm,slightly excited,neutral,slightly controlled,neutral,slightly controlled,confident,neutral,confident,
22,younger sister,"You lent your car to your younger sister. The younger sister returned it with a large, obvious dent. You are in the driveway, looking at the damage.",you,I like the new aerodynmic curves you added to the passenger doors.,surprise,fear,anticipation,surprise,neutral,unpleasant,mildly pleasant,slightly excited,excited,calm,slightly in control,slightly controlled,neutral,confident,confident,mildly confident,
29,younger sibling,"An older sibling discovers their younger sister forgot to book their shared flight home, which means the both sibling missed a major family reunion.",older sibling,Nice work on missing the family reunion. I'm sure they were getting tired of us anyway.,sadness,sadness,sadness,sadness,mildly unpleasant,mildly unpleasant,mildly pleasant,calm,neutral,slightly excited,very controlled,neutral,slightly in control,confident,mildly confident,mildly confident,
45,you,"Your on a first date at a diner when you trip and knocked your date's desert onto the floor. While you're kneeling on the floor to clean up, you date say",date,"Don't bother, I prefer my apple pie a la linolium.",surprise,fear,surprise,surprise,very pleasant,neutral,pleasant,slightly excited,slightly calm,slightly calm,controlled,neutral,slightly in control,confident,mildly unsure,confident,
50,your partner,"You met your ex and your ex's partner's at a small gathering of a common friend with your new partner. Later, talking to your new partner, you make this remark the heated argument you saw between your ex and their new partner.",you,"Well, I guess I it wasn't just me after all.",disgust,joy,joy,joy,mildly pleasant,mildly pleasant,pleasant,very calm,neutral,calm,neutral,neutral,very in control,mildly unsure,mildly unsure,confident,
72,colleague,"In the team's Slack channel, a colleague posts a PDF of the monthly report five hours late. It has several factual errors and broken charts. The team is waiting on this for a meeting. A peer replies in the thread.",peer,"Oh wow, that report was... a triple double.",fear,sadness,fear,fear,mildly unpleasant,mildly unpleasant,mildly unpleasant,neutral,neutral,slightly excited,very controlled,slightly controlled,controlled,very unsure,confident,confident,
73,ambassador,"During the official state dinner, the vegetables were overcooked and the fish undercooked. The ambassador looks embarrassed. His counterpart across the table, comments while everyone stares at the food.",counterpart,In my country our food is prepared the opposite: raw vegetables and cooked fish.,surprise,surprise,surprise,surprise,pleasant,unpleasant,neutral,slightly excited,slightly calm,slightly excited,slightly controlled,slightly controlled,slightly controlled,confident,neutral,neutral,
74,vendor lead negotiator,"After a difficult negotiation call where the supplier was foced to slash their wholesale price in the face of pressure for a large retailer, the supplier's lawyer turns to the supplier's lead negotiator and speaks.",lawyer,You really drove a hard bargain. That's going to leave a mark for days.,anger,anticipation,anger,anger,mildly unpleasant,unpleasant,mildly unpleasant,slightly excited,neutral,excited,slightly controlled,slightly in control,slightly in control,mildly confident,neutral,mildly confident,
75,main surgeon,"During a post operation discussion, the assisting surgeon realizes the main surgeon left a sponge in the patient's abdomin.",assisting surgeon,I hope his insurance pays for that extra sponge or it's coming out of your paycheck,disgust,anger,anger,anger,very unpleasant,mildly unpleasant,unpleasant,slightly excited,neutral,excited,slightly controlled,slightly in control,slightly controlled,mildly confident,mildly confident,mildly confident,
77,social media manager,"When website traffic actually fell after the multi-million dollar ad campaign,  the CEO sent a curt, disappointed email to their social media manager.",CEO,"You were supposed to drive internet traffic TO our website, not the other way around.",sadness,sadness,fear,sadness,very unpleasant,very unpleasant,neutral,excited,slightly excited,slightly excited,very controlled,slightly controlled,slightly controlled,confident,mildly confident,mildly confident,
78,ex-con,"During the weekly check-in with his parole officer, the ex-con was consistently late by 15-30mins every time.",parole officer ,When you make me wait it feels like I'm doing hard time.,surprise,anger,trust,surprise,pleasant,neutral,mildly pleasant,very calm,slightly calm,calm,slightly controlled,neutral,slightly in control,confident,neutral,mildly confident,
81,development manager,"At the all-hands launch party with media and investors, the startup development manager revealed to a stranger the software is unstable due to several critical bugs. It turns out the stranger is a tech reporter who only reveals their identity later, and then leaves with this comment.",tech reporter,"Don't worry, your secret is safe with me and my YouTube subscribers - we'll keep it between the 700k of us.",fear,fear,surprise,fear,very unpleasant,very unpleasant,mildly unpleasant,excited,excited,excited,very controlled,controlled,very controlled,very confident,confident,confident,
87,class,"During the early morning econ class, a student fell asleep in the first row. Upon seeing this, the professor addresses the rest of the class.",professor,Note the surest way to an A grade: a willing spirit with a weak body.,joy,joy,surprise,joy,pleasant,mildly pleasant,mildly unpleasant,slightly excited,neutral,slightly calm,slightly in control,neutral,controlled,unsure,mildly confident,mildly confident,
91,Sam,"Siblings were coordinating the surprise birthday for their mother. Sam was supposed to pick up the cake but forgot, and the group is standing awkwardly around with everything but the centerpiece cake. Sam's oldest sibling note.",oldest sibling,"Don't sweat it Sam, at least we remembered the important stuff: confetting, streamers, and plates.",sadness,sadness,anger,sadness,very unpleasant,mildly unpleasant,mildly unpleasant,calm,neutral,slightly excited,controlled,slightly controlled,slightly controlled,confident,mildly confident,mildly confident,
92,Morgan,"Morgan promised to feed Carl's fish while Carl was on extended vacation. Morgan accidently fed the fish the wrong pet food which proved toxic. Staring at all his dead tropical fish floating upside down at the top of their fishtank, Carl notes:",Carl,Well at least you remembered to feed them.,sadness,fear,surprise,sadness,mildly unpleasant,very unpleasant,pleasant,very calm,slightly excited,slightly calm,controlled,slightly controlled,neutral,mildly confident,neutral,confident,
93,younger sibling,"You and your younger sibling share hotel room on a famliy vacation. Your younger sibling races to the room, unpacks their clothes, and sprawls on the better bed before you get to the room. You're standing in the doorway looking at the situation.",you,"Wow, how thoughtful.",joy,joy,joy,joy,pleasant,mildly pleasant,pleasant,slightly excited,slightly excited,slightly calm,very in control,in control,in control,confident,mildly confident,confident,
94,family,"After a chaotic family board-game night with accusation of cheating  and one sibling (Amy) storming out, you're left collecting pieces and trying to calm down the other family members.",you,"Well, cheaters never win so I know Amy wasn't accusing me.",anger,anger,anticipation,anger,neutral,mildly unpleasant,pleasant,slightly excited,slightly excited,slightly excited,slightly controlled,neutral,in control,mildly unsure,neutral,mildly confident,
97,you,You tried to fix the bathroom sink and ended up flooding the floor. Your spouse is watching the mess and notes that guests arrive in less than an hour.,wife,"How thoughtful. Instead of making our guests walk to the bathroom, I guess we'll just bring the bathroom to them.",anger,fear,surprise,anger,mildly unpleasant,unpleasant,mildly pleasant,slightly calm,neutral,slightly excited,controlled,controlled,slightly controlled,mildly confident,mildly confident,confident,
99,you,"You come home to find the living room covered in confetti, spilled snacks, and a cracked family vase after your teenage child threw an unsupervised party despite repeated warnings. Your teenager speaks to you.",teenager,"You know, sometimes looks can be deciving.",anger,anger,anger,anger,very unpleasant,unpleasant,mildly unpleasant,very excited,neutral,excited,very in control,slightly in control,in control,very confident,mildly confident,confident,
102,waiter,"A waiter just knocked a tall cafŽ latte all over their your brand-new laptop while trying to help clean the adjacent tabletop. You immediately grab your laptop, turn it upside down so coffee can drip off your keyboard looking clearly upset.",you,I hope you're not expecting another tip for that.,fear,fear,fear,fear,unpleasant,unpleasant,unpleasant,excited,neutral,excited,very controlled,slightly controlled,very controlled,confident,confident,confident,
111,you,"You planned a surprise anniversary dinner for your significant other. When you unexpectedly arrive home early from work with balloons, champagne, and a cake you find your significant other romantically entwined with the apartment handyman. Your significant other turns to you and explains.",significant other,I guess your not the only one with a surprise?,disgust,surprise,anger,disgust,very unpleasant,very unpleasant,very unpleasant,very excited,very excited,very excited,slightly controlled,very controlled,in control,confident,very confident,confident,
117,sister,Your blind date was an hour late and spent most of the night scrolling through their phone. You call your sister who set you up the next day.,you,I think we were most compatible on the apathy level.,surprise,joy,surprise,surprise,mildly pleasant,neutral,mildly pleasant,very calm,neutral,calm,neutral,neutral,in control,confident,mildly confident,confident,
123,partner,You planned an expensive dinner at a fancy restaurant with your new partner. They arrived two hours late without apologizing and then said they'd 'changed plans' so the reservation was lost.,you,"Don't worry, I've made backup reservations at McDonalds.",surprise,anger,anticipation,surprise,mildly unpleasant,mildly unpleasant,mildly unpleasant,slightly excited,neutral,excited,very controlled,slightly in control,slightly controlled,mildly confident,unsure,confident,
124,other couple,You and a more socially dominant friend went on a double date. Your date monopolized the conversation and made a few awkward comments that left you embarrassed in front of the other couple.,you,Well at least I couldn't put my foot in my mouth since I couldn't get a word in edgewise.,sadness,surprise,surprise,surprise,mildly unpleasant,mildly unpleasant,pleasant,very calm,neutral,slightly calm,neutral,neutral,in control,mildly confident,mildly confident,confident,
135,you,A movie critic posts a scathing review of the debut novel by your friend who is a feature new author in a New Yorker book review.  Your new author friend turns to you.,new author friend,"They say those can do, those who can't critique. Looks like I have a promising second career.",surprise,joy,surprise,surprise,mildly pleasant,neutral,pleasant,neutral,neutral,calm,neutral,neutral,in control,confident,neutral,confident,
136,webmaster,A utility company manager asks the company's webmaster to post an electricity outage message on the company's website.,manager,Well at least our CEO got his performance bonus this quarter.,anger,anger,trust,anger,mildly unpleasant,mildly unpleasant,mildly unpleasant,calm,neutral,slightly excited,slightly controlled,neutral,slightly in control,unsure,mildly confident,neutral,
138,group ,"On a long group hiking trip into primative park forests, everyone thought someone else was packing toilet paper for the group.  The hiking leader addresses everyone around a campfire about the confusion.",leader,"I guess we'll all really find out what the meaning of ""roughing it"" means this week",disgust,joy,disgust,disgust,mildly unpleasant,mildly pleasant,mildly unpleasant,slightly excited,neutral,neutral,neutral,neutral,neutral,mildly confident,mildly confident,confident,
141,team manager ,A junior developer just spent the morning presenting a design proposal their manager quickly dismissed in front of everyone. The manager then gave the junior developer a single vague sentence of feedback and moved on.,junior developer (lower),I guess I left him nearly speechless which is either really good or really bad?,sadness,surprise,surprise,surprise,mildly unpleasant,neutral,mildly pleasant,very calm,calm,neutral,in control,slightly in control,in control,mildly unsure,mildly unsure,confident,
143,moderator,"You're a forum user whose post was removed and who received a firm, public warning from a moderator. You message the moderator directly afterward.",you,That was some moderation skill on displayÉ,joy,anger,anger,anger,pleasant,mildly unpleasant,mildly unpleasant,slightly excited,neutral,slightly excited,very in control,very in control,in control,confident,confident,confident,
144,governor,A scheduled controlled forest burn escaped and accidently damanged thousands of acres. The governor gathers all the leaders involved to address them.,firefighters,"I think you left out one of the words in the phrase ""controlled forrest burn"".",sadness,sadness,anger,sadness,unpleasant,unpleasant,mildly unpleasant,calm,slightly excited,slightly excited,very controlled,controlled,slightly controlled,confident,neutral,mildly confident,
147,tv crew member,"Both political candidates' opening debate statements contained several serious factual errors and awkward pauses. After these openings, one of the campaign managers enthusiastically remarked to a skeptical member of the TV crew.",campaign manager,"Wow, that presentation was absolutely flawless.",surprise,joy,surprise,surprise,neutral,neutral,pleasant,slightly calm,neutral,calm,in control,neutral,slightly in control,confident,mildly confident,confident,
153,project lead,"During the all-hands meeting after this morning's  product launch failed spectacularly, the director turns to the project lead.",director,"Fantastic, you're going to be remembered for this launch.",fear,fear,fear,fear,very unpleasant,very unpleasant,unpleasant,slightly excited,slightly excited,excited,very controlled,slightly controlled,very controlled,confident,confident,confident,
157,junior mechanic,"During their lunch break, the junior mechanic comes across lug nuts he accidentally forgot to put back on a customer's car. He asks a senior mechanic what he should do about it.",senior mechanic,"No worries, I'm sure no one will notice.",surprise,anticipation,anticipation,anticipation,neutral,neutral,mildly unpleasant,slightly excited,slightly excited,excited,very controlled,neutral,very controlled,mildly unsure,neutral,confident,
159,director,"During a live product demo to executives, the prototype froze after the director insisted on showing the new feature right away. The junior developer who had to restart the demo is now speaking to that director in the team chat after the meeting.",junior developer,"Hopefully the audience thought the pause was a tomato timer feature, not a bug.",anger,anger,anger,anger,mildly unpleasant,mildly unpleasant,unpleasant,calm,neutral,slightly excited,very in control,slightly in control,in control,mildly confident,mildly confident,mildly confident,
165,younger sibling,"At a family dinner, the younger sibling cooked a nostalgic casserole from their childhood but it was clearly overcooked and salty. The older sibling sits down, tastes it while the younger sibling watches nervously,dicussing found memories of their parents. The older sibling comments after swalloing their first bite.",older sibling,"Wow, it didn't think anyone could do it, but you've outdone mom's own casserole.",joy,trust,sadness,trust,very pleasant,mildly pleasant,mildly unpleasant,excited,slightly excited,slightly excited,in control,neutral,controlled,confident,mildly unsure,confident,
171,teenager,"A father comes home to find the teenager's spilled food, a stack of dirty plates, and clothes all over the living room. Guests are due in an hour, so the father speaks.",father,"Thanks for helping clean-up before our guests arrive, but I think you missed a few spots.",surprise,sadness,anticipation,surprise,mildly unpleasant,neutral,mildly unpleasant,slightly calm,slightly calm,slightly calm,controlled,neutral,slightly controlled,confident,neutral,confident,
175,parent,A college student comes home after their parent cleaned out their childhood bedroom and discarded several things the student cared about. The student sees the mostly empty room and says to their parent.,college student,Well now I know what you really ment when you asked me to 'clean my room' all those years growing up here.,surprise,surprise,surprise,surprise,pleasant,mildly unpleasant,mildly unpleasant,slightly calm,neutral,excited,very in control,slightly in control,slightly in control,mildly confident,neutral,confident,
177,mother,A teen daughter asks her mother for a birthday cake which comes out burnt on the edges and collapsed. The mother proudly brings the messy cake into the kitchen where family is gathered.,teen daughter,"Perfect, no one will confust this is a store-brought birthday cake. Look at all that love in it.",sadness,sadness,joy,sadness,mildly unpleasant,mildly unpleasant,pleasant,slightly calm,slightly excited,calm,controlled,slightly controlled,in control,confident,neutral,confident,
180,your friend who spilled wine,"You and a friend are getting ready for a double date. As the other person's date arrives, your friend knocks over a glass of red wine all over their partner's white shirt.",you,Great! Now I'm going to have to spill a glass of wine too so our dates match.,surprise,anticipation,joy,surprise,very pleasant,mildly unpleasant,pleasant,slightly excited,slightly excited,calm,slightly controlled,neutral,slightly in control,confident,unsure,confident,
181,your friends,"A group of friends drove into town to see a small local band, but five minutes before the set the venue texts that the band canceled. You're all standing in the street, late and annoyed.",you,We can cram into my care. I think I can get reception on a few AM radio station.,sadness,anger,sadness,sadness,mildly unpleasant,mildly unpleasant,mildly unpleasant,very calm,neutral,excited,controlled,controlled,slightly in control,mildly confident,mildly confident,mildly confident,
182,roommate,You and your roommate had agreed to share groceries. Tonight you open the fridge to find the last container of food gone and a note from your roommate apologizing that they already ate it.,you,"So this is why communism failed, your needs obviously out paced my abilities.",trust,joy,anticipation,trust,mildly pleasant,mildly pleasant,mildly pleasant,calm,neutral,slightly calm,neutral,neutral,slightly controlled,confident,neutral,confident,
183,late friend,"You and a close friend had a reservation for a small birthday dinner. They showed up almost two hours late, missed the group photo, and walked in as the cake was being cut. A few people had already left. As they sit down, you say something to them.",you ,"And I thought our jump scare was good, but you really surprised the birthday boy with your dramatic delayed entrance.",sadness,fear,anger,sadness,unpleasant,mildly unpleasant,mildly unpleasant,slightly calm,slightly calm,slightly excited,very controlled,neutral,slightly controlled,confident,neutral,mildly confident,
189,older planning partner,You and your partner (they're older and usually take the lead in plans) had tickets for a show tonight. Your partner forgot the tickets at home and you missed the start.,you,Well the really important people show up fashionably late anyway,joy,joy,trust,joy,pleasant,neutral,pleasant,neutral,neutral,slightly calm,slightly in control,slightly controlled,slightly in control,confident,mildly unsure,mildly confident,
190,you,"At a cozy weeknight dinner at home, your older, more socially assured friend (who often teases you) watches you set off the smoke alarm while trying a new recipe. They're standing at the doorway with a mix of amusement and exasperation.",friend,I like your musical selection in paring the piercing alarm sirens with charcol brisket,sadness,surprise,anger,sadness,unpleasant,mildly unpleasant,mildly unpleasant,slightly calm,excited,excited,very controlled,slightly controlled,slightly controlled,confident,mildly confident,confident,
191,you,"You asked an older friend (who usually gives advice and feels responsible for you) for dating tips. After following their suggestion you had an awkward, worse date. They text you afterward while you both process it.",older friend,You do know I was joking don't you.,anger,anger,sadness,anger,very unpleasant,mildly unpleasant,mildly pleasant,excited,neutral,slightly calm,in control,slightly controlled,slightly controlled,confident,mildly confident,confident,
197,you,"At a small house party the you accidentally mentioned a private story about you new partner in front of the your ex, causing visible embarrassment. Your new partner feels betrayed, responds with a short remark.",new partner,Glad to know you stay on intimate terms with both your current and future ex's,fear,surprise,surprise,surprise,very unpleasant,unpleasant,unpleasant,very excited,excited,slightly excited,very controlled,controlled,controlled,very confident,confident,confident,
198,contractor,"In a kitchen renovation contract you signed, the contractor had agreed on a deadline. The contractor missed the deadeline and apologized saying they'll finish by next month.",you,"No rush, it's much easier to prepare meals in the laundry room utility sink - so much more room.",sadness,anticipation,fear,sadness,neutral,neutral,mildly unpleasant,calm,neutral,slightly excited,slightly controlled,slightly in control,slightly controlled,mildly confident,mildly unsure,confident,
219,CEO,Bringing a new transformer online resulted with a major electrical outage affecting several neighborhoods in a major city. The utility company CEO who managed the project sits next to the mayor facing an upcoming election. The two exchange tense before a press conference.,mayor,Thanks for helping get out the vote for my opponent next week,sadness,anger,fear,sadness,unpleasant,mildly unpleasant,mildly unpleasant,slightly calm,neutral,slightly excited,slightly controlled,slightly in control,very controlled,mildly unsure,neutral,mildly confident,
231,attending physician,"A junior resident had pointed out several risks in an medical operation, but their senior attending physician overrides any concerns raised. The operation results in major medical complications and a large lawsuit. When the senior attending physician tries the shift blame to the junior resident, the junior resident responds. ",junior resident,It's unfortunate no one raised any objections to the risks involved in this operation.,surprise,anger,anger,anger,very unpleasant,unpleasant,mildly unpleasant,slightly excited,slightly excited,excited,in control,slightly in control,controlled,mildly confident,confident,confident,
237,younger sister,"At the family Thanksgiving dinner, the younger sister was assigned to roast the turkey and accidentally left it in the oven until it burned. Everyone is seated around the nicely plated charred turkey when grandmother speaks up.",grandmother,"Well I don't know about everyone else, but I actually prefer my meat well-done.",joy,joy,anticipation,joy,pleasant,mildly pleasant,mildly pleasant,slightly calm,neutral,slightly calm,slightly controlled,neutral,controlled,confident,neutral,confident,
255,friend ,"On a blind date with Alice, her date repeatedly tripped over their words, accidentally knocked over Alice's wine, and dominated the conversation. Alice meets her friend who set up the date later. When her friend asks how her blind date went, Alice responds.",Alice,"I think they thought it was more of a blind, deaf and dumb date.",surprise,sadness,surprise,surprise,mildly pleasant,mildly unpleasant,mildly unpleasant,neutral,neutral,slightly calm,neutral,neutral,slightly controlled,neutral,mildly confident,confident,
256,new attorney,"The new attorney spent hours preparing a his case presentation for a senior  partner in their law firm. Although the presention itself was sound, the new attorney stumbled over thier words, frequently lost track of their arguments, and appeared nervious throughout. After the conclusion of the presentation, the senior partner gave this feedback. ",senior partner,I'm sure the solid content will make up for the poor delivery.,sadness,sadness,anticipation,sadness,very unpleasant,unpleasant,very unpleasant,very calm,neutral,slightly excited,very controlled,slightly controlled,very controlled,very confident,neutral,confident,
257,group ,"At a small house party, you introduce your recent ex to you new partner. The introduction made several people visibly uncomfortable and led to awkward, clipped conversation. Later, another friend tries to comment while the group processes the moment.",friend,That definitely wasn't a total disaster.,sadness,surprise,anticipation,sadness,mildly unpleasant,neutral,mildly pleasant,very calm,slightly calm,slightly calm,slightly controlled,neutral,slightly in control,mildly confident,unsure,mildly confident,
268,you,"A double date you helped coordinate for you and your friend went badly: both couples argued, the booked activity was cancelled, and everyone left early. After the disasterous date, your friend turns to you.",friend,"So what are you thinking about our next double date, Tuesday?",surprise,joy,sadness,surprise,mildly pleasant,neutral,mildly pleasant,slightly calm,calm,slightly calm,neutral,in control,neutral,confident,neutral,confident,
